"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"3OKP4QVBQD5P2ZPQ8DGM57G03WRAGM","3OLW3VWEQ6B3B79LUPQMBGTRV1524R","Rank realism of computer-generated images","This is an image discrimination task. Which one do you prefer? The task takes about 4 minutes.","survey, demographics, graphics","$0.80","Fri Mar 25 03:24:31 PDT 2022","10","BatchId:4699703;OriginalHitTemplateId:920937340;","3600","432000","Fri Apr 01 03:24:31 PDT 2022","","","30MVJZJNHYLNA12GEFSQV9TKLHKJ98","A1XO6ONCCTBMKW","Approved","Fri Mar 25 03:24:47 PDT 2022","Fri Mar 25 04:04:07 PDT 2022","Wed Mar 30 04:04:07 PDT 2022","Fri Mar 25 05:47:57 PDT 2022","","","2360","100% (1/1)","100% (1/1)","100% (1/1)","1S7ue5cNzM"
"3OKP4QVBQD5P2ZPQ8DGM57G03WRAGM","3OLW3VWEQ6B3B79LUPQMBGTRV1524R","Rank realism of computer-generated images","This is an image discrimination task. Which one do you prefer? The task takes about 4 minutes.","survey, demographics, graphics","$0.80","Fri Mar 25 03:24:31 PDT 2022","10","BatchId:4699703;OriginalHitTemplateId:920937340;","3600","432000","Fri Apr 01 03:24:31 PDT 2022","","","31T4R4OBO4OWO48HPQDKU9PJ07XC7L","A28A3HF3LSEIDT","Approved","Fri Mar 25 04:25:32 PDT 2022","Fri Mar 25 04:46:20 PDT 2022","Wed Mar 30 04:46:20 PDT 2022","Fri Mar 25 05:47:57 PDT 2022","","","1248","100% (1/1)","100% (1/1)","100% (1/1)","AR59ZIt0Og"
"3OKP4QVBQD5P2ZPQ8DGM57G03WRAGM","3OLW3VWEQ6B3B79LUPQMBGTRV1524R","Rank realism of computer-generated images","This is an image discrimination task. Which one do you prefer? The task takes about 4 minutes.","survey, demographics, graphics","$0.80","Fri Mar 25 03:24:31 PDT 2022","10","BatchId:4699703;OriginalHitTemplateId:920937340;","3600","432000","Fri Apr 01 03:24:31 PDT 2022","","","32Q90QCQ14TZGHZF4B8OO2U8R36KEO","A5LYLHG880ABE","Approved","Fri Mar 25 04:05:55 PDT 2022","Fri Mar 25 04:43:38 PDT 2022","Wed Mar 30 04:43:38 PDT 2022","Fri Mar 25 05:47:57 PDT 2022","","","2263","100% (1/1)","100% (1/1)","100% (1/1)","Mg3idlOHmQ"
"3OKP4QVBQD5P2ZPQ8DGM57G03WRAGM","3OLW3VWEQ6B3B79LUPQMBGTRV1524R","Rank realism of computer-generated images","This is an image discrimination task. Which one do you prefer? The task takes about 4 minutes.","survey, demographics, graphics","$0.80","Fri Mar 25 03:24:31 PDT 2022","10","BatchId:4699703;OriginalHitTemplateId:920937340;","3600","432000","Fri Apr 01 03:24:31 PDT 2022","","","34BBWHLWHMJ2RMVIP8HIXSMV63GWIZ","A1IOMFFEKCWOIT","Approved","Fri Mar 25 03:25:34 PDT 2022","Fri Mar 25 03:56:48 PDT 2022","Wed Mar 30 03:56:48 PDT 2022","Fri Mar 25 05:47:57 PDT 2022","","","1874","100% (1/1)","100% (1/1)","100% (1/1)","CARCJkxXON"
"3OKP4QVBQD5P2ZPQ8DGM57G03WRAGM","3OLW3VWEQ6B3B79LUPQMBGTRV1524R","Rank realism of computer-generated images","This is an image discrimination task. Which one do you prefer? The task takes about 4 minutes.","survey, demographics, graphics","$0.80","Fri Mar 25 03:24:31 PDT 2022","10","BatchId:4699703;OriginalHitTemplateId:920937340;","3600","432000","Fri Apr 01 03:24:31 PDT 2022","","","3A4NIXBJ7I78CB9A6988GACWP5WLMB","A2PYXFVGNJPPX0","Approved","Fri Mar 25 03:25:33 PDT 2022","Fri Mar 25 03:56:57 PDT 2022","Wed Mar 30 03:56:57 PDT 2022","Fri Mar 25 05:47:57 PDT 2022","","","1884","100% (1/1)","100% (1/1)","100% (1/1)","svksil83Yz"
"3OKP4QVBQD5P2ZPQ8DGM57G03WRAGM","3OLW3VWEQ6B3B79LUPQMBGTRV1524R","Rank realism of computer-generated images","This is an image discrimination task. Which one do you prefer? The task takes about 4 minutes.","survey, demographics, graphics","$0.80","Fri Mar 25 03:24:31 PDT 2022","10","BatchId:4699703;OriginalHitTemplateId:920937340;","3600","432000","Fri Apr 01 03:24:31 PDT 2022","","","3DIP6YHAPO0FLGXEVMBLYXLHW368EN","A26399B1QZ7XJJ","Approved","Fri Mar 25 04:25:00 PDT 2022","Fri Mar 25 04:52:10 PDT 2022","Wed Mar 30 04:52:10 PDT 2022","Fri Mar 25 05:47:57 PDT 2022","","","1630","100% (1/1)","100% (1/1)","100% (1/1)","OEnrCSuMFl"
"3OKP4QVBQD5P2ZPQ8DGM57G03WRAGM","3OLW3VWEQ6B3B79LUPQMBGTRV1524R","Rank realism of computer-generated images","This is an image discrimination task. Which one do you prefer? The task takes about 4 minutes.","survey, demographics, graphics","$0.80","Fri Mar 25 03:24:31 PDT 2022","10","BatchId:4699703;OriginalHitTemplateId:920937340;","3600","432000","Fri Apr 01 03:24:31 PDT 2022","","","3FTF2T8WL3Q9GL2FLEB5KZNSNDU9WU","A2BAQ26SMQQEUG","Approved","Fri Mar 25 03:28:42 PDT 2022","Fri Mar 25 04:13:58 PDT 2022","Wed Mar 30 04:13:58 PDT 2022","Fri Mar 25 05:47:57 PDT 2022","","","2716","100% (1/1)","100% (1/1)","100% (1/1)","t15dyG0po5"
"3OKP4QVBQD5P2ZPQ8DGM57G03WRAGM","3OLW3VWEQ6B3B79LUPQMBGTRV1524R","Rank realism of computer-generated images","This is an image discrimination task. Which one do you prefer? The task takes about 4 minutes.","survey, demographics, graphics","$0.80","Fri Mar 25 03:24:31 PDT 2022","10","BatchId:4699703;OriginalHitTemplateId:920937340;","3600","432000","Fri Apr 01 03:24:31 PDT 2022","","","3VNXK88KKOQW1W2AV469YX4EG4QV94","A10NF5TK6IFNX6","Approved","Fri Mar 25 03:24:43 PDT 2022","Fri Mar 25 03:44:53 PDT 2022","Wed Mar 30 03:44:53 PDT 2022","Fri Mar 25 05:47:56 PDT 2022","","","1210","100% (1/1)","100% (1/1)","100% (1/1)","vCdW1yQXzL"
"3OKP4QVBQD5P2ZPQ8DGM57G03WRAGM","3OLW3VWEQ6B3B79LUPQMBGTRV1524R","Rank realism of computer-generated images","This is an image discrimination task. Which one do you prefer? The task takes about 4 minutes.","survey, demographics, graphics","$0.80","Fri Mar 25 03:24:31 PDT 2022","10","BatchId:4699703;OriginalHitTemplateId:920937340;","3600","432000","Fri Apr 01 03:24:31 PDT 2022","","","3WQ3B2KGEKOZ3D19MA0GIFSOF06B1P","A1EX0MEOPF8AHT","Approved","Fri Mar 25 05:06:51 PDT 2022","Fri Mar 25 05:32:30 PDT 2022","Wed Mar 30 05:32:30 PDT 2022","Fri Mar 25 05:47:56 PDT 2022","","","1539","100% (1/1)","100% (1/1)","100% (1/1)","fNfR5HEBQe"
"3OKP4QVBQD5P2ZPQ8DGM57G03WRAGM","3OLW3VWEQ6B3B79LUPQMBGTRV1524R","Rank realism of computer-generated images","This is an image discrimination task. Which one do you prefer? The task takes about 4 minutes.","survey, demographics, graphics","$0.80","Fri Mar 25 03:24:31 PDT 2022","10","BatchId:4699703;OriginalHitTemplateId:920937340;","3600","432000","Fri Apr 01 03:24:31 PDT 2022","","","3XIQGXAUMOGKR2JCGM978MAT1PBX7Y","APSN3KV49VLKX","Approved","Fri Mar 25 03:26:28 PDT 2022","Fri Mar 25 03:52:02 PDT 2022","Wed Mar 30 03:52:02 PDT 2022","Fri Mar 25 05:47:57 PDT 2022","","","1534","100% (1/1)","100% (1/1)","100% (1/1)","9Ndp0TeH0P"
